ID,label
S00323,35853
S00324,35853
S00325,35853
S00326,35853
S00327,35853
S00328,35853
S00329,35853
S00330,35853
S00331,35853
S00332,1
S00333,0
S00334,6615
S00335,6615
S00336,6615
S00337,35853
S00338,35853
S00339,35853
S00340,35853
S00341,35853
S00342,35853
S00343,35853
S00344,35829
S00345,35829
S00346,35829
S00347,35829
S00348,1
S00349,0
S00350,6615
S00351,35853
S00352,35853
S00353,35853
S00354,35853
S00355,35853
S00356,35853
S00357,35853
S00358,35853
S00359,35853
S00360,35853
S00361,35853
S00362,35853
S00363,35853
S00364,1
S00365,0
S00366,6615
S00367,6615
S00368,6615
S00369,35853
S00370,35853
S00371,35853
S00372,35853
S00373,35853
S00374,35853
S00375,35853
S00376,35829
S00377,35829
S00378,35829
S00379,35829
S00380,35829
S00381,35829
S00382,1
S00383,0
S00384,6615
S00385,6615
S00386,6615
S00387,6615
S00388,6615
S00389,6615
S00390,35853
S00391,1
S00392,0
S00393,6615
S00394,35853
S00395,35829
S00396,35829
S00397,35829
S00398,35829
S00399,35829
S00400,35829
S00401,35829
S00402,35829
S00403,35829
S00404,35829
S00405,35829
S00406,35829
S00407,35829
S00408,1
S00409,0
S00410,6615
S00411,6615
S00412,6615
S00413,6615
S00414,35853
S00415,35853
S00416,35853
S00417,35853
S00418,35853
S00419,35853
S00420,35829
S00421,1
S00422,0
S00423,35853
S00424,35853
S00425,35853
S00426,35853
S00427,35853
S00428,35853
S00429,35853
S00430,35853
S00431,35853
S00432,35853
S00433,35853
S00434,35853
S00435,35853
S00436,35853
S00437,35853
S00438,35853
S00439,1
S00440,0
S00441,6615
S00442,35853
S00443,35829
S00444,35829
S00445,35829
S00446,35829
S00447,35829
S00448,35829
S00449,35829
S00450,35829
S00451,35829
S00452,35829
S00453,35829
S00454,35829
S00455,35829
S00456,35829
S00457,1
S00458,0
S00459,6615
S00460,35853
S00461,35853
S00462,35853
S00463,35853
S00464,35853
S00465,35853
S00466,35853
S00467,35853
S00468,35853
S00469,35829
S00470,35829
S00471,35829
S00472,35829
S00473,35829
S00474,35829
S00475,1
S00476,0
S00477,35853
S00478,35853
S00479,35853
S00480,35829
S00481,35829
S00482,35829
S00483,35853
S00484,35829
S00485,35829
S00486,35829
S00487,35829
S00488,35829
S00489,1
S00490,0
S00491,6615
S00492,35853
S00493,35853
S00494,35853
S00495,35853
S00496,35853
S00497,35853
S00498,35853
S00499,35853
S00500,35853
S00501,35829
S00502,35829
S00503,35829
S00504,35829
S00505,35829
S00506,1
S00507,0
S00508,6615
S00509,35853
S00510,35853
S00511,35853
S00512,35853
S00513,35853
S00514,35853
S00515,35853
S00516,35853
S00517,35853
S00518,35829
S00519,35829
S00520,35829
S00521,35829
S00522,35829
S00523,35829
S00524,1
S00525,0
S00526,6615
S00527,35853
S00528,35853
S00529,35853
S00530,35853
S00531,35853
S00532,35853
S00533,35853
S00534,35853
S00535,35853
S00536,35829
S00537,35829
S00538,35829
S00539,1
S00540,0
S00541,6615
S00542,6615
S00543,6615
S00544,6615
S00545,35853
S00546,35853
S00547,35853
S00548,35853
S00549,35853
S00550,35853
S00551,35829
S00552,1
S00553,0
S00554,6615
S00555,6615
S00556,6615
S00557,6615
S00558,6615
S00559,6615
S00560,35853
S00561,35853
S00562,35853
S00563,1
S00564,0
S00565,6615
S00566,35853
S00567,35853
S00568,35853
S00569,35853
S00570,35853
S00571,35853
S00572,35853
S00573,35853
S00574,35853
S00575,35853
S00576,1
S00577,0
S00578,6615
S00579,6615
S00580,6615
S00581,6615
S00582,6615
S00583,6615
S00584,1
S00585,0
S00586,6615
S00587,6615
S00588,35853
S00589,35853
S00590,35853
S00591,35853
S00592,35853
S00593,35853
S00594,35853
S00595,35853
S00596,35853
S00597,35853
S00598,35853
S00599,35853
S00600,1
S00601,0
S00602,6615
S00603,6615
S00604,6615
S00605,6615
S00606,35853
S00607,35853
S00608,35853
S00609,35853
S00610,35853
S00611,35853
S00612,35829
S00613,1
S00614,0
S00615,6615
S00616,35853
S00617,35853
S00618,35853
S00619,35853
S00620,35853
S00621,35853
S00622,35853
S00623,35853
S00624,35853
S00625,35853
S00626,1
S00627,0
S00628,6615
S00629,6615
S00630,6615
S00631,6615
S00632,35853
S00633,35853
S00634,35853
S00635,35853
S00636,35853
S00637,35853
S00638,1
S00639,0
S00640,6615
S00641,6615
S00642,35853
S00643,35853
S00644,35853
S00645,35853
S00646,35853
S00647,35853
S00648,35853
S00649,35853
S00650,35829
S00651,35829
S00652,35829
S00653,35829
S00654,35829
S00655,35829
S00656,1
S00657,0
S00658,6615
S00659,6615
S00660,6615
S00661,35853
S00662,35853
S00663,35853
S00664,35853
S00665,35853
S00666,35853
S00667,35853
S00668,35829
S00669,35829
S00670,35829
S00671,35829
S00672,35829
S00673,35829
S00674,1
S00675,0
S00676,6615
S00677,6615
S00678,6615
S00679,35853
S00680,35853
S00681,35853
S00682,35853
S00683,35853
S00684,35853
S00685,35853
S00686,35829
S00687,35829
S00688,35829
S00689,35829
S00690,1
S00691,0
S00692,6615
S00693,6615
S00694,6615
S00695,6615
S00696,6615
S00697,6615
S00698,35853
S00699,35853
S00700,35853
S00701,35853
S00702,35829
S00703,1
S00704,0
S00705,6615
S00706,6615
S00707,6615
S00708,6615
S00709,35853
S00710,35853
S00711,35853
S00712,35853
S00713,1
S00714,0
S00715,6615
S00716,6615
S00717,6615
S00718,35853
S00719,35853
S00720,35853
S00721,35853
S00722,35853
S00723,35853
S00724,35853
S00725,1
S00726,0
S00727,6615
S00728,6615
S00729,35853
S00730,35853
S00731,35853
S00732,35853
S00733,35853
S00734,35853
S00735,35853
S00736,35853
S00737,35829
S00738,35829
S00739,35829
S00740,35829
S00741,1
S00742,0
S00743,6615
S00744,6615
S00745,6615
S00746,6615
S00747,6615
S00748,35853
S00749,35853
S00750,1
S00751,0
S00752,6615
S00753,35853
S00754,35853
S00755,35829
S00756,35829
S00757,35853
S00758,35853
S00759,35829
S00760,35829
S00761,35829
S00762,35829
S00763,35829
S00764,35829
S00765,35829
S00766,1
S00767,0
S00768,6615
S00769,35853
S00770,35829
S00771,35829
S00772,35829
S00773,35829
S00774,35829
S00775,35829
S00776,35829
S00777,35829
S00778,35829
S00779,35829
S00780,35829
S00781,35829
S00782,35829
S00783,1
S00784,0
S00785,6615
S00786,35853
S00787,35853
S00788,35853
S00789,35853
S00790,35853
S00791,35853
S00792,35853
S00793,35853
S00794,35853
S00795,35829
S00796,35829
S00797,35829
S00798,35829
S00799,35829
S00800,1
S00801,0
S00802,6615
S00803,6615
S00804,35853
S00805,35853
S00806,35853
S00807,35853
S00808,35853
S00809,35853
S00810,35853
S00811,35853
S00812,35853
S00813,35853
S00814,35853
S00815,35853
S00816,1
S00817,0
S00818,35853
S00819,35853
S00820,35853
S00821,35853
S00822,35853
S00823,35853
S00824,35853
S00825,35853
S00826,35853
S00827,35853
S00828,35853
S00829,35853
S00830,35853
S00831,35853
S00832,35853
S00833,1
S00834,0
S00835,6615
S00836,35853
S00837,35853
S00838,35853
S00839,35853
S00840,35853
S00841,35853
S00842,35853
S00843,35853
S00844,35853
S00845,35829
S00846,35829
S00847,35829
S00848,35829
S00849,1
S00850,0
S00851,6615
S00852,6615
S00853,6615
S00854,6615
S00855,1
S00856,0
S00857,6615
S00858,6615
S00859,6615
S00860,6615
S00861,6615
S00862,6615
S00863,6615
S00864,1
S00865,0
S00866,6615
S00867,6615
S00868,6615
S00869,6615
S00870,6615
S00871,6615
S00872,1
S00873,0
S00874,6615
S00875,6615
S00876,6615
S00877,6615
S00878,6615
S00879,6615
S00880,6615
S00881,35853
S00882,1
S00883,0
S00884,6615
S00885,6615
S00886,35853
S00887,35853
S00888,35853
S00889,35853
S00890,35853
S00891,35853
S00892,35853
S00893,35853
S00894,35853
S00895,1
S00896,0
S00897,6615
S00898,6615
S00899,6615
S00900,6615
S00901,6615
S00902,6615
S00903,6615
S00904,6615
S00905,1548
S00906,1548
S00907,1548
S00908,1
S00909,0
S00910,6615
S00911,6615
S00912,35853
S00913,35853
S00914,35853
S00915,35853
S00916,35853
S00917,35853
S00918,35853
S00919,35853
S00920,35829
S00921,35829
S00922,35829
S00923,35829
S00924,35829
S00925,1
S00926,0
S00927,35853
S00928,35853
S00929,35853
S00930,35853
S00931,35853
S00932,35853
S00933,35853
S00934,35853
S00935,35853
S00936,35829
S00937,35829
S00938,35829
S00939,35829
S00940,35829
S00941,1
S00942,0
S00943,6615
S00944,35853
S00945,35853
S00946,35853
S00947,35853
S00948,35853
S00949,35853
S00950,35853
S00951,35853
S00952,35829
S00953,35829
S00954,35829
S00955,35829
S00956,35829
S00957,35829
S00958,1
S00959,0
S00960,6615
S00961,6615
S00962,35853
S00963,35853
S00964,35853
S00965,35853
S00966,35853
S00967,35853
S00968,35853
S00969,35853
S00970,35829
S00971,35829
S00972,35829
S00973,35829
S00974,35829
S00975,1
S00976,0
S00977,6615
S00978,6615
S00979,6615
S00980,35853
S00981,35853
S00982,35853
S00983,35853
S00984,35853
S00985,35853
S00986,35853
S00987,35829
S00988,35829
S00989,35829
S00990,35829
S00991,35829
S00992,35829
S00993,1
S00994,0
S00995,6615
S00996,6615
S00997,6615
S00998,6615
S00999,35853
S01000,35853
S01001,35853
S01002,35853
S01003,35853
S01004,35853
S01005,35829
S01006,35829
S01007,35829
S01008,35829
S01009,35829
S01010,1
S01011,0
S01012,6615
S01013,6615
S01014,6615
S01015,35853
S01016,35853
S01017,35853
S01018,35853
S01019,35853
S01020,35853
S01021,35853
S01022,35829
S01023,35829
S01024,35829
S01025,35829
S01026,35829
S01027,35829
S01028,1
S01029,0
S01030,6615
S01031,6615
S01032,35853
S01033,35853
S01034,35853
S01035,35853
S01036,35853
S01037,35853
S01038,35853
S01039,35853
S01040,35829
S01041,35829
S01042,1
S01043,0
S01044,6615
S01045,35853
S01046,35853
S01047,35853
S01048,35853
S01049,35853
S01050,35853
S01051,35853
S01052,35853
S01053,35853
S01054,35853
S01055,35853
S01056,35853
S01057,35853
S01058,35853
S01059,35853
S01060,1
S01061,0
S01062,6615
S01063,6615
S01064,6615
S01065,6615
S01066,6615
S01067,6615
S01068,35853
S01069,35853
S01070,1
S01071,0
S01072,6615
S01073,35853
S01074,35853
S01075,35853
S01076,35853
S01077,35853
S01078,35853
S01079,35853
S01080,35853
S01081,35853
S01082,35853
S01083,35853
S01084,35853
S01085,35853
S01086,1
S01087,0
S01088,6615
S01089,6615
S01090,6615
S01091,35853
S01092,35853
S01093,35853
S01094,35853
S01095,35853
S01096,35853
S01097,35853
S01098,35829
S01099,35829
S01100,35829
S01101,1
S01102,0
S01103,6615
S01104,6615
S01105,6615
S01106,6615
S01107,6615
S01108,6615
S01109,6615
S01110,6615
S01111,1548
S01112,1
S01113,0
S01114,35853
S01115,35853
S01116,35853
S01117,35853
S01118,35853
S01119,35853
S01120,35853
S01121,35853
S01122,35853
S01123,35829
S01124,35829
S01125,35829
S01126,1
S01127,0
S01128,6615
S01129,6615
S01130,6615
S01131,35853
S01132,35853
S01133,35853
S01134,35853
S01135,35853
S01136,35853
S01137,35853
S01138,35829
S01139,35829
S01140,35829
S01141,35829
S01142,1
S01143,0
S01144,6615
S01145,35853
S01146,35829
S01147,35829
S01148,35829
S01149,35829
S01150,35829
S01151,35829
S01152,35829
S01153,35829
S01154,35829
S01155,35829
S01156,35829
S01157,35829
S01158,1
S01159,0
S01160,35853
S01161,35853
S01162,35853
S01163,35853
S01164,35853
S01165,35853
S01166,35853
S01167,35853
S01168,35853
S01169,35853
S01170,35853
S01171,35853
S01172,1
S01173,0
S01174,6615
S01175,35853
S01176,35829
S01177,35829
S01178,35829
S01179,35829
S01180,35829
S01181,35829
S01182,35829
S01183,35829
S01184,35829
S01185,35829
S01186,35829
S01187,35829
S01188,35829
S01189,1
S01190,0
S01191,6615
S01192,6615
S01193,6615
S01194,35853
S01195,35853
S01196,35853
S01197,35853
S01198,35853
S01199,35853
S01200,35853
S01201,35829
S01202,35829
S01203,35829
S01204,35829
S01205,35829
S01206,35829
S01207,1
S01208,0
S01209,6615
S01210,6615
S01211,6615
S01212,35853
S01213,35853
S01214,35853
S01215,35853
S01216,35853
S01217,35853
S01218,35853
S01219,35829
S01220,35829
S01221,35829
S01222,35829
S01223,1
S01224,0
S01225,6615
S01226,6615
S01227,6615
S01228,6615
S01229,6615
S01230,6615
S01231,35853
S01232,35853
S01233,35853
S01234,35853
S01235,1
S01236,0
S01237,6615
S01238,6615
S01239,6615
S01240,6615
S01241,6615
S01242,6615
S01243,6615
S01244,35853
S01245,35853
S01246,1
S01247,0
S01248,6615
S01249,6615
S01250,6615
S01251,6615
S01252,6615
S01253,6615
S01254,35853
S01255,35853
S01256,35853
S01257,35853
S01258,35829
S01259,1
S01260,0
S01261,6615
S01262,6615
S01263,6615
S01264,6615
S01265,35853
S01266,35853
S01267,35853
S01268,35853
S01269,35853
S01270,35853
S01271,35829
S01272,35829
S01273,35829
S01274,35829
S01275,35829
S01276,1
S01277,0
S01278,35853
S01279,35853
S01280,35853
S01281,35853
S01282,35853
S01283,35853
S01284,35853
S01285,35853
S01286,35853
S01287,35853
S01288,35853
S01289,35853
S01290,35853
S01291,35853
S01292,35853
S01293,35853
S01294,1
S01295,0
S01296,6615
S01297,6615
S01298,6615
S01299,35853
S01300,35853
S01301,35853
S01302,35853
S01303,35853
S01304,35853
S01305,35853
S01306,35829
S01307,35829
S01308,35829
S01309,1
S01310,0
S01311,6615
S01312,6615
S01313,6615
S01314,35853
S01315,35853
S01316,35853
S01317,35853
S01318,35853
S01319,35853
S01320,35853
S01321,35829
S01322,35829
S01323,35829
S01324,35829
S01325,35829
S01326,1
S01327,0
S01328,6615
S01329,6615
S01330,6615
S01331,6615
S01332,6615
S01333,6615
S01334,6615
S01335,1
S01336,0
S01337,6615
S01338,35853
S01339,35853
S01340,35853
S01341,35853
S01342,35853
S01343,35853
S01344,35853
S01345,35853
S01346,35853
S01347,35853
S01348,35853
S01349,35853
S01350,35853
S01351,35853
S01352,35853
S01353,1
S01354,0
S01355,6615
S01356,6615
S01357,35853
S01358,35853
S01359,35853
S01360,35853
S01361,35853
S01362,35853
S01363,35853
S01364,35853
S01365,35829
S01366,35829
S01367,35829
S01368,35829
S01369,35829
S01370,1
S01371,0
S01372,35853
S01373,35853
S01374,35853
S01375,35853
S01376,35853
S01377,35853
S01378,35853
S01379,35853
S01380,35853
S01381,35853
S01382,35853
S01383,35853
S01384,35853
S01385,35853
S01386,35853
S01387,1
S01388,0
S01389,6615
S01390,6615
S01391,35853
S01392,35853
S01393,35853
S01394,35853
S01395,35853
S01396,35853
S01397,35853
S01398,35853
S01399,35829
S01400,35829
S01401,35829
S01402,35829
S01403,1
S01404,0
S01405,35853
S01406,35853
S01407,35853
S01408,35853
S01409,35853
S01410,35853
S01411,35853
S01412,35853
S01413,35853
S01414,35853
S01415,35853
S01416,35853
S01417,35853
S01418,35853
S01419,1
S01420,0
S01421,6615
S01422,6615
S01423,6615
S01424,6615
S01425,35853
S01426,35853
S01427,35853
S01428,35853
S01429,1
S01430,0
S01431,6615
S01432,6615
S01433,6615
S01434,35853
S01435,35853
S01436,35853
S01437,35853
S01438,35853
S01439,35853
S01440,35853
S01441,35829
S01442,35829
S01443,1
S01444,0
S01445,6615
S01446,35853
S01447,35829
S01448,35829
S01449,35829
S01450,35829
S01451,35829
S01452,35829
S01453,35829
S01454,35829
S01455,35829
S01456,35829
S01457,35829
S01458,35829
S01459,35829
S01460,1
S01461,0
S01462,6615
S01463,6615
S01464,35853
S01465,35853
S01466,35853
S01467,35853
S01468,35853
S01469,35853
S01470,35853
S01471,35853
S01472,35829
S01473,35829
S01474,1
S01475,0
S01476,35853
S01477,35853
S01478,35853
S01479,35853
S01480,35853
S01481,35853
S01482,35853
S01483,35853
S01484,35853
S01485,35853
S01486,35853
S01487,35853
S01488,35853
S01489,35853
S01490,35853
S01491,35853
S01492,1
S01493,0
S01494,6615
S01495,6615
S01496,6615
S01497,6615
S01498,35853
S01499,35853
S01500,35853
S01501,35853
S01502,35853
S01503,35853
S01504,35829
S01505,1
S01506,0
S01507,6615
S01508,6615
S01509,6615
S01510,6615
S01511,6615
S01512,6615
S01513,6615
S01514,6615
S01515,1
S01516,0
S01517,6615
S01518,6615
S01519,35853
S01520,35853
S01521,35853
S01522,35853
S01523,35853
S01524,35853
S01525,35853
S01526,35853
S01527,35853
S01528,35853
S01529,35853
S01530,35853
S01531,35853
S01532,1
S01533,0
S01534,6615
S01535,6615
S01536,6615
S01537,6615
S01538,6615
S01539,1
S01540,0
S01541,6615
S01542,6615
S01543,6615
S01544,6615
S01545,6615
S01546,6615
S01547,6615
S01548,6615
S01549,1
S01550,0
S01551,6615
S01552,6615
S01553,6615
S01554,6615
S01555,35853
S01556,35853
S01557,35853
S01558,35853
S01559,35853
S01560,35853
S01561,35829
S01562,35829
S01563,1
S01564,0
S01565,6615
S01566,35853
S01567,35853
S01568,35853
S01569,35853
S01570,35853
S01571,35853
S01572,35853
S01573,35853
S01574,35853
S01575,35829
S01576,35829
S01577,35829
S01578,35829
S01579,35829
S01580,1
S01581,0
S01582,6615
S01583,35853
S01584,35829
S01585,35829
S01586,35829
S01587,35829
S01588,35829
S01589,35829
S01590,35829
S01591,35829
S01592,35829
S01593,35829
S01594,35829
S01595,35829
S01596,35829
S01597,1
S01598,0
S01599,6615
S01600,6615
S01601,6615
S01602,6615
S01603,6615
S01604,6615
S01605,6615
S01606,6615
S01607,1
S01608,0
S01609,6615
S01610,6615
S01611,6615
S01612,35853
S01613,35853
S01614,35853
S01615,35853
S01616,35853
S01617,35853
S01618,35853
S01619,35829
S01620,35829
S01621,35829
S01622,35829
S01623,35829
S01624,35829
S01625,1
S01626,0
S01627,6615
S01628,6615
S01629,35853
S01630,35853
S01631,35853
S01632,35853
S01633,35853
S01634,35853
S01635,35853
S01636,35853
S01637,35829
S01638,35829
S01639,35829
S01640,35829
S01641,35829
S01642,1
S01643,0
S01644,6615
S01645,6615
S01646,6615
S01647,6615
S01648,35853
S01649,35853
S01650,35853
S01651,35853
S01652,35853
S01653,35853
S01654,35829
S01655,35829
S01656,1
S01657,0
S01658,6615
S01659,6615
S01660,6615
S01661,6615
S01662,6615
S01663,6615
S01664,6615
S01665,6615
S01666,1548
S01667,1
S01668,0
S01669,6615
S01670,6615
S01671,6615
S01672,35853
S01673,35853
S01674,35853
S01675,35853
S01676,35853
S01677,35853
S01678,35853
S01679,35829
S01680,35829
S01681,35829
S01682,1
S01683,0
S01684,6615
S01685,6615
S01686,6615
S01687,6615
S01688,35853
S01689,35853
S01690,35853
S01691,35853
S01692,35853
S01693,35853
S01694,35829
S01695,35829
S01696,35829
S01697,35829
S01698,1
S01699,0
S01700,35853
S01701,35853
S01702,35853
S01703,35829
S01704,35829
S01705,35829
S01706,35853
S01707,35829
S01708,35829
S01709,35829
S01710,35829
S01711,35829
S01712,35829
S01713,35829
S01714,35829
S01715,1
S01716,0
S01717,6615
S01718,6615
S01719,6615
S01720,35853
S01721,35853
S01722,35853
S01723,35853
S01724,35853
S01725,35853
S01726,35853
S01727,35829
S01728,35829
S01729,35829
S01730,35829
S01731,1
S01732,0
S01733,6615
S01734,6615
S01735,6615
S01736,35853
S01737,35853
S01738,35853
S01739,35853
S01740,35853
S01741,35853
S01742,35853
S01743,1
S01744,0
S01745,6615
S01746,6615
S01747,6615
S01748,35853
S01749,35853
S01750,35853
S01751,35853
S01752,35853
S01753,35853
S01754,35853
S01755,35829
S01756,35829
S01757,35829
S01758,1
S01759,0
S01760,35853
S01761,35853
S01762,35853
S01763,35829
S01764,35829
S01765,35853
S01766,35853
S01767,35853
S01768,35829
S01769,35829
S01770,35829
S01771,35829
S01772,35829
S01773,35829
S01774,35829
S01775,35829
S01776,1
S01777,0
S01778,6615
S01779,6615
S01780,6615
S01781,35853
S01782,35853
S01783,35853
S01784,35853
S01785,35853
S01786,35853
S01787,35853
S01788,35829
S01789,1
S01790,0
S01791,6615
S01792,6615
S01793,6615
S01794,6615
S01795,6615
S01796,6615
S01797,6615
S01798,6615
S01799,1548
S01800,1
S01801,0
S01802,6615
S01803,6615
S01804,6615
S01805,6615
S01806,6615
S01807,6615
S01808,6615
S01809,1
S01810,0
S01811,6615
S01812,35853
S01813,35853
S01814,35853
S01815,35853
S01816,35853
S01817,35853
S01818,35853
S01819,35853
S01820,35853
S01821,35829
S01822,35829
S01823,35829
S01824,35829
S01825,35829
S01826,35829
S01827,1
S01828,0
S01829,6615
S01830,35853
S01831,35853
S01832,35853
S01833,35853
S01834,35853
S01835,35853
S01836,35853
S01837,35853
S01838,35829
S01839,35829
S01840,35829
S01841,35829
S01842,35829
S01843,1
S01844,0
S01845,6615
S01846,6615
S01847,6615
S01848,35853
S01849,35853
S01850,35853
S01851,35853
S01852,35853
S01853,35853
S01854,35853
S01855,35829
S01856,35829
S01857,35829
S01858,1
S01859,0
S01860,6615
S01861,6615
S01862,6615
S01863,6615
S01864,6615
S01865,6615
S01866,6615
S01867,6615
S01868,1548
S01869,1548
S01870,1548
S01871,35829
S01872,1548
S01873,1
S01874,0
S01875,6615
S01876,6615
S01877,6615
S01878,6615
S01879,35853
S01880,35853
S01881,35853
S01882,35853
S01883,1
S01884,0
S01885,6615
S01886,6615
S01887,6615
S01888,6615
S01889,6615
S01890,6615
S01891,1
S01892,0
S01893,6615
S01894,6615
S01895,6615
S01896,6615
S01897,35853
S01898,35853
S01899,35853
S01900,35853
S01901,35853
S01902,35853
S01903,35829
S01904,35829
S01905,35829
S01906,1
S01907,0
S01908,6615
S01909,6615
S01910,6615
S01911,6615
S01912,35853
S01913,35853
S01914,35853
S01915,35853
S01916,35853
S01917,35853
S01918,35829
S01919,35829
S01920,35829
S01921,35829
S01922,1
S01923,0
S01924,6615
S01925,35853
S01926,35853
S01927,35853
S01928,35853
S01929,35853
S01930,35853
S01931,35853
S01932,35853
S01933,35829
S01934,35829
S01935,35829
S01936,35829
S01937,35829
S01938,35829
S01939,35829
S01940,1
S01941,0
S01942,6615
S01943,35853
S01944,35853
S01945,35853
S01946,35853
S01947,35853
S01948,35853
S01949,35853
S01950,35853
S01951,35853
S01952,35829
S01953,35829
S01954,35829
S01955,35829
S01956,1
S01957,0
S01958,6615
S01959,6615
S01960,6615
S01961,6615
S01962,6615
S01963,6615
S01964,1
S01965,0
S01966,6615
S01967,35853
S01968,35853
S01969,35853
S01970,35853
S01971,35853
S01972,35853
S01973,35853
S01974,35853
S01975,35853
S01976,35853
S01977,35853
S01978,35853
S01979,35853
S01980,35853
S01981,35853
S01982,1
S01983,0
S01984,35853
S01985,35853
S01986,35853
S01987,35829
S01988,35829
S01989,35829
S01990,35853
S01991,35829
S01992,35829
S01993,35829
S01994,35829
S01995,35829
S01996,35829
S01997,35829
S01998,35829
S01999,35829
S02000,1
S02001,0
S02002,6615
S02003,6615
S02004,6615
S02005,35853
S02006,35853
S02007,35853
S02008,35853
S02009,35853
S02010,35853
S02011,35853
S02012,1
S02013,0
S02014,6615
S02015,6615
S02016,6615
S02017,6615
S02018,6615
S02019,6615
S02020,35853
S02021,35853
S02022,1
S02023,0
S02024,6615
S02025,35853
S02026,35853
S02027,35853
S02028,35853
S02029,35853
S02030,35853
S02031,35853
S02032,35853
S02033,35853
S02034,35853
S02035,35853
S02036,35853
S02037,35853
S02038,1
